asi_id,asi_descripcion,asi_codigo,asi_nivel
1,COMUNICACIÓN ORAL Y ESCRITA,G-HU-ICO-101,1
2,ÁLGEBRA LINEAL,C-CE-ICO-101,1
3,ANTROPOLOGÍA FILOSÓFICO-TEOLÓGICA,G-RF-ICO-101,1
4,CÁLCULO DIFERENCIAL,C-CE-ICO-102,1
5,PROGRAMACIÓN,C-CT-ICO-101,1
6,ELECTROTECNIA,C-CT-ICO-103,1
7,ÉTICA,G-RF-ICO-102,1
8,PROGRAMACIÓN APLICADA,E-CT-ICO-144,1
9,ELECTRÓNICA,C-CT-ICO-104,1
10,ESTRUCTURA DE DATOS,E-CT-ICO-143,1
11,PROGRAMACIÓN ORIENTADA A OBJETOS,C-CT-ICO-102,1
12,ECUACIONES DIFERENCIALES,C-CE-ICO-105,1
13,CÁLCULO INTEGRAL,C-CE-ICO-103,1
14,FUNDAMENTOS DE SISTEMAS OPERATIVOS,E-CT-ICO-145,2
15,VIDA Y TRASCENDENCIA,G-RF-ICO-103,2
16,ARQUITECTURA DEL COMPUTADOR,E-CT-ICO-146,2
17,PROGRAMACIÓN Y PLATAFORMAS WEB,E-CT-ICO-158,2
18,SISTEMAS EMBEBIDOS,E-CT-ICO-150,2
19,PROBABILIDAD Y ESTADÍSTICA,C-CE-ICO-104,2
20,PENSAMIENTO CRÍTICO,G-HU-ICO-102,2
21,PENSAMIENTO SOCIAL DE LA IGLESIA,G-RF-ICO-104,3
22,MÉTODOS NUMÉRICOS,C-CE-ICO-106,3
23,REDES DE COMPUTADORAS I,C-CT-ICO-105,3
24,ANÁLISIS Y DISEÑO DE SISTEMAS,E-CT-ICO-151,3
25,ANÁLISIS MULTIVARIADO Y MODELOS ESTOCÁSTICOS,E-CE-ICO-101,3
26,INTELIGENCIA ARTIFICIAL,C-CT-ICO-107,3
27,FUNDAMENTOS DE BASE DE DATOS,E-CT-ICO-148,3
28,ADMINISTRACIÓN DE SISTEMAS OPERATIVOS,E-CT-ICO-147,3
29,REDES DE COMPUTADORAS II,C-CT-ICO-106,3
30,GESTIÓN DE BASE DE DATOS,E-CT-ICO-149,4
31,GESTIÓN EMPRESARIAL,C-CA-ICO-101,4
32,SISTEMAS DISTRIBUIDOS,E-CT-ICO-160,5
33,PRÁCTICAS DE SERVICIO COMUNITARIO,E-CT-ICO-159,5
34,PRÁCTICAS PRE PROFESIONALES,E-CT-ICO-165,6
35,APRENDIZAJE AUTOMÁTICO,E-CT-ICO-152,6
36,VISIÓN POR COMPUTADOR,E-CT-ICO-153,6
37,PROYECTOS,G-CA-ICO-001,7
38,METODOLOGÍA DE LA INVESTIGACIÓN CIENTÍFICA,E-HU-ICO-001,7
39,PLATAFORMAS WEB,E-CT-ICO-022,7
40,PRÁCTICAS PRE PROFESIONALES: VINCULACIÓN,E-CT-ICO-031,7
41,VISIÓN POR COMPUTADOR,E-CT-ICO-030,7
42,INGENIERÍA DE SOFTWARE,E-CT-ICO-154,7
43,PRÁCTICAS PRE PROFESIONALES: PASANTÍAS,E-CT-ICO-033,7
44,ESCRITURA ACADÉMICA,G-HU-ICO-004,8
45,PLATAFORMAS MÓVILES,E-CT-ICO-029,8
46,COMPUTACIÓN PARALELA,E-CT-ICO-026,8
47,AUDITORÍA INFORMÁTICA,E-CT-ICO-032,8
48,CRIPTOGRAFÍA,E-CT-ICO-038,8
49,CALIDAD DE SOFTWARE,E-CT-ICO-037,8
50,SISTEMAS DISTRIBUIDOS,E-CT-ICO-036,8
51,SEGURIDAD DE LA INFORMACIÓN,E-CT-ICO-039,9
52,INTELIGENCIA DE NEGOCIOS,E-CT-ICO-040,9
53,SIMULACIÓN,E-CT-ICO-041,9
54,TRABAJO DE TITULACIÓN,E-CT-ICO-042,9
