rub_id,doc_id,est_id,grp_id,cri_id,rub_niv
138,73,249,217,3,12
139,73,239,217,3,11
140,73,239,217,7,28
141,73,249,217,7,27
142,73,239,217,8,31
143,73,249,217,8,31
144,73,239,217,9,35
145,73,249,217,9,35
146,73,249,217,10,38
147,73,239,217,10,40
148,73,239,217,16,64
149,73,249,217,16,64
150,73,239,217,17,67
151,73,249,217,17,67
152,73,202,187,3,9
153,73,205,187,3,11
154,73,206,187,3,12
155,73,204,187,3,10
156,73,207,187,3,11
157,73,208,187,3,10
158,73,209,187,3,10
159,73,212,187,3,11
160,73,213,187,3,11
161,73,214,187,3,11
162,73,125,141,3,9
163,73,178,141,3,10
164,73,191,141,3,12
165,73,192,141,3,11
167,73,181,141,3,10
168,73,182,141,3,10
169,73,194,141,3,10
170,73,162,141,3,11
171,73,195,141,3,10
172,73,196,141,3,11
173,73,197,141,3,10
174,73,198,141,3,11
175,73,199,141,3,11
176,73,183,141,3,11
177,73,186,141,3,11
178,73,187,141,3,11
179,73,125,141,9,33
180,73,178,141,9,34
181,73,191,141,9,36
182,73,192,141,9,35
183,73,181,141,9,35
184,73,182,141,9,35
185,73,194,141,9,35
186,73,162,141,9,35
187,73,195,141,9,35
188,73,196,141,9,35
189,73,197,141,9,35
190,73,198,141,9,35
191,73,199,141,9,35
192,73,183,141,9,35
193,73,186,141,9,35
194,73,187,141,9,35
195,73,125,141,10,37
196,73,178,141,10,38
197,73,191,141,10,39
198,73,192,141,10,40
199,73,181,141,10,39
200,73,182,141,10,39
201,73,194,141,10,38
202,73,162,141,10,39
203,73,195,141,10,39
204,73,196,141,10,39
205,73,197,141,10,39
206,73,198,141,10,39
207,73,199,141,10,39
208,73,183,141,10,40
209,73,186,141,10,39
210,73,187,141,10,39
211,73,189,141,3,12
212,73,189,141,9,35
213,73,189,141,10,39
214,65,237,216,3,11
215,65,251,216,3,11
216,65,253,216,3,12
217,65,237,216,7,27
218,65,251,216,7,27
219,65,253,216,7,27
220,65,237,216,8,31
221,65,251,216,8,31
222,65,253,216,8,31
223,65,237,216,9,36
224,65,251,216,9,35
225,65,253,216,9,36
226,65,237,216,10,38
227,65,251,216,10,39
228,65,253,216,10,39
229,65,237,216,16,63
230,65,251,216,16,63
231,65,253,216,16,63
232,65,237,216,17,68
233,65,251,216,17,67
234,65,253,216,17,67
